ID,Ime,TrznaVrednost,Starost,Visina,Drzavljanstvo,MocnejsaNoga,Liga
37304,Shane Long,1.2,34,180,Ireland,both,GB1
37337,Mario Suárez,0.3,34,189,Spain,right,ES1
37526,Winston Reid,1.5,33,191,New Zealand,right,GB1
37647,Dimitri Payet,5.0,34,175,France,right,FR1
37666,Arturo Vidal,3.5,34,180,Chile,right,IT1
37834,Felipe Caicedo,4.0,32,183,Ecuador,left,IT1
38253,Robert Lewandowski,60.0,33,185,Poland,right,L1
38410,Daniel Caligiuri,2.0,33,182,Italy,right,L1
39037,Rob Elliot,0.2,35,190,Ireland,left,GB1
39106,Ádám Szalai,0.4,33,193,Hungary,right,L1
39259,Makoto Hasebe,0.8,37,180,Japan,right,L1
39381,Gareth Bale,18.0,32,185,Wales,left,ES1
39728,Mats Hummels,12.0,32,191,Germany,right,L1
39983,Leonardo Bonucci,8.0,34,190,Italy,right,IT1
40034,Jens Grahl,0.2,32,192,Germany,right,L1
40074,Stefan Ilsanker,1.7,32,189,Austria,right,L1
40423,Claudio Bravo,1.0,38,184,Chile,right,ES1
40433,Alexis Sánchez,7.5,32,168,Chile,right,IT1
40611,Ryan Bertrand,8.0,32,179,England,left,GB1
40613,Jack Cork,5.0,32,185,England,right,GB1
40633,Milan Badelj,2.0,32,186,Croatia,right,IT1
40680,Sven Ulreich,0.9,33,192,Germany,right,L1
40792,Manuel Riemann,0.6,32,186,Germany,right,L1
41323,Andreas Luthe,0.9,34,195,Germany,right,L1
41384,Marko Arnautovic,10.0,32,192,Austria,both,IT1
41414,Lucas Leiva,3.5,34,179,Brazil,right,IT1
41416,James McArthur,2.0,33,178,Scotland,both,GB1
41458,Robert Tesche,0.35,34,182,Germany,right,L1
41541,Danny Blum,1.0,30,183,Germany,left,L1
41912,Simone Aresti,0.1,35,187,Italy,right,IT1
42205,Yann Sommer,6.0,32,183,Switzerland,right,L1
42234,Havard Nordtveit,1.5,31,188,Norway,right,L1
42412,Jonny Evans,7.0,33,188,Northern Ireland,both,GB1
42460,Ivan Perisic,10.0,32,186,Croatia,both,IT1
42783,André Hahn,2.5,31,185,Germany,right,L1
42796,Nicola Ravaglia,0.3,32,184,Italy,right,IT1
42920,Fran Mérida,1.0,31,173,Spain,left,ES1
42936,Nils Petersen,3.0,32,188,Germany,right,L1
43003,Nacho Monreal,1.5,35,179,Spain,left,ES1
43256,Paul Baysse,1.0,33,185,France,right,FR1
43530,Adam Lallana,4.0,33,172,England,both,GB1
43763,Erik Pieters,1.5,33,183,Netherlands,left,GB1
43848,Miguel Veloso,0.9,35,180,Portugal,left,IT1
43984,Daniel Brosinski,0.8,33,178,Germany,right,L1
